"Date"	"Time"	"Total volume"	"Reverse volume"	"Flow rate"	"On time"	"Temperature (medium)"	"Status"	"Min. flow rate"	"Max. flow rate"	"Error time"	"Forward volume"	"Temperature (environment)"	"Overload time"	"ac_id"
2019-03-14	0	33.709	"0.000 m³"	"0.001 m³/h"	"3013 h"	32.2	NA	"0.010 m³/h"	"0.011 m³/h"	"0 h"	"33.709 m³"	25.5	"0 s"	"1114612579"
2019-03-14	1	33.718	"0.000 m³"	"0.011 m³/h"	"3014 h"	31.9	NA	"0.009 m³/h"	"0.010 m³/h"	"0 h"	"33.718 m³"	25.1	"0 s"	"1114612579"
2019-03-14	2	33.727	"0.000 m³"	"0.018 m³/h"	"3015 h"	31.7	NA	"0.008 m³/h"	"0.009 m³/h"	"0 h"	"33.727 m³"	24.5	"0 s"	"1114612579"
2019-03-14	3	33.735	"0.000 m³"	"0.004 m³/h"	"3016 h"	31.6	NA	"0.008 m³/h"	"0.009 m³/h"	"0 h"	"33.735 m³"	23.9	"0 s"	"1114612579"
2019-03-14	4	33.743	"0.000 m³"	"0.009 m³/h"	"3017 h"	31.3	NA	"0.007 m³/h"	"0.009 m³/h"	"0 h"	"33.743 m³"	23.5	"0 s"	"1114612579"
2019-03-14	5	33.747	"0.000 m³"	"0.000 m³/h"	"3018 h"	31.1	NA	"0.003 m³/h"	"0.006 m³/h"	"0 h"	"33.747 m³"	22.9	"0 s"	"1114612579"
2019-03-14	6	33.752	"0.000 m³"	"0.000 m³/h"	"3019 h"	30.9	NA	"0.004 m³/h"	"0.006 m³/h"	"0 h"	"33.752 m³"	22.4	"0 s"	"1114612579"
2019-03-14	7	34.959	"0.000 m³"	"0.097 m³/h"	"3020 h"	33.1	NA	"0.134 m³/h"	"2.873 m³/h"	"0 h"	"34.959 m³"	23.1	"0 s"	"1114612579"
2019-03-14	8	35.519	"0.000 m³"	"2.626 m³/h"	"3021 h"	33.4	NA	"0.052 m³/h"	"2.045 m³/h"	"0 h"	"35.519 m³"	23.9	"0 s"	"1114612579"
2019-03-14	9	36.257	"0.000 m³"	"0.083 m³/h"	"3022 h"	33.2	NA	"0.096 m³/h"	"2.444 m³/h"	"0 h"	"36.257 m³"	26.4	"0 s"	"1114612579"
